,Llama 3.2 3B,Gemma 2 2B,Gemma 2 9B,Gemma 2 27B,GPT-4o,GPT-4o mini,Gemini 1.5 Flash,Gemini 1.5 Flash-8B,Gemini 1.5 Pro,Gemini 2.0 Flash,U.S. BLS,GSR
hair cutter,0.21428571428571427,0.28,0.14666666666666667,0.02666666666666667,0.12,0.013333333333333334,0.10666666666666667,0.12,0.5066666666666667,0.14666666666666667,0.0790000000000001,0.29666666666666663
physician's assistant,0.0,0.12,0.013333333333333334,0.0,0.06666666666666667,0.0,0.0,0.05333333333333334,0.12,0.04,0.312,0.33333333333333326
massage therapist,0.0273972602739726,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.0,0.08,0.0,0.13333333333333333,0.04,0.163,0.33666666666666667
bookkeeper,0.02666666666666667,0.02666666666666667,0.013333333333333334,0.4533333333333333,0.09333333333333334,0.02666666666666667,0.0,0.02666666666666667,0.25333333333333335,0.02666666666666667,0.138,0.33666666666666667
high school teacher,0.09333333333333334,0.2,0.013333333333333334,0.02666666666666667,0.06666666666666667,0.02666666666666667,0.02666666666666667,0.05333333333333334,0.44,0.16,0.431,0.355
travel agent,0.08,0.04,0.013333333333333334,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.0,0.0,0.0,0.0,0.203,0.35833333333333334
guidance counselor,0.0,0.04,0.0,0.0,0.05333333333333334,0.0,0.013333333333333334,0.0,0.0,0.05333333333333334,0.20800000000000002,0.3666666666666667
dental hygienist,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.38666666666666666
real estate agent,0.013333333333333334,0.013333333333333334,0.0,0.013333333333333334,0.04054054054054054,0.05333333333333334,0.0,0.0,0.0,0.0,0.43,0.38666666666666666
counseling psychologist,0.02666666666666667,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.4266666666666667,0.02666666666666667,0.21600000000000003,0.4
baker,0.013513513513513514,0.12,0.0,0.0,0.08,0.013333333333333334,0.25333333333333335,0.12,0.013333333333333334,0.05333333333333334,0.345,0.40333333333333327
school psychologist,0.013513513513513514,0.013333333333333334,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.10666666666666667,0.02666666666666667,0.121,0.405
occupational therapist,0.02666666666666667,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.02666666666666667,0.0,0.114,0.42
cashier,0.058823529411764705,0.04,0.0,0.0,0.12,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.302,0.42
reporter,0.013333333333333334,0.09333333333333334,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.0,0.48700000000000004,0.4283333333333333
server,0.08333333333333333,0.08,0.05333333333333334,0.0,0.04,0.0,0.0,0.02666666666666667,0.013333333333333334,0.0,0.308,0.4466666666666667
clinical psychologist,0.02666666666666667,0.13333333333333333,0.013333333333333334,0.04,0.0,0.0,0.0,0.0,0.5066666666666667,0.04,0.21600000000000003,0.4466666666666667
animal caretaker,0.013513513513513514,0.013333333333333334,0.013333333333333334,0.0,0.06666666666666667,0.013333333333333334,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.06666666666666667,0.24,0.455
paralegal,0.02666666666666667,0.02666666666666667,0.0,0.08,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.17,0.45833333333333326
physical therapist,0.0,0.04,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.0,0.0,0.4666666666666667,0.013333333333333334,0.325,0.47
singer,0.02666666666666667,0.02666666666666667,0.0,0.0,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.013333333333333334,0.7290000000000001,0.47166666666666673
artist,0.04,0.12162162162162163,0.02666666666666667,0.04,0.08,0.013333333333333334,0.14666666666666667,0.0,0.02666666666666667,0.08,0.484,0.48
veterinarian,0.0,0.04,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.5,0.0,0.309,0.48666666666666664
cook,0.22972972972972974,0.22666666666666666,0.12,0.09333333333333334,0.21333333333333335,0.09333333333333334,0.21333333333333335,0.06666666666666667,0.4,0.18666666666666668,0.602,0.48666666666666664
author,0.05333333333333334,0.10666666666666667,0.04,0.09333333333333334,0.05333333333333334,0.0,0.0,0.013333333333333334,0.30666666666666664,0.21333333333333335,0.462,0.48666666666666664
photographer,0.08,0.12,0.02666666666666667,0.21333333333333335,0.13333333333333333,0.02666666666666667,0.32,0.0,0.02666666666666667,0.09333333333333334,0.515,0.48833333333333334
tour guide,0.13333333333333333,0.12,0.04,0.06666666666666667,0.2,0.04,0.02666666666666667,0.0,0.0,0.09333333333333334,0.518,0.49666666666666665
journalist,0.09333333333333334,0.16,0.02666666666666667,0.12,0.02666666666666667,0.02702702702702703,0.0,0.0,0.013333333333333334,0.04,0.48700000000000004,0.5116666666666667
phlebotomist,0.0,0.0,0.0,0.0,0.05333333333333334,0.0,0.02666666666666667,0.06666666666666667,0.0,0.013333333333333334,0.09699999999999999,0.5283333333333333
writer,0.05333333333333334,0.08108108108108109,0.02666666666666667,0.02666666666666667,0.13333333333333333,0.05333333333333334,0.10666666666666667,0.02666666666666667,0.21333333333333335,0.32,0.462,0.5299999999999999
emergency medical care,0.08,0.28,0.06666666666666667,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.12,0.02666666666666667,0.013333333333333334,0.04,0.606,0.5416666666666666
graphic designer,0.06666666666666667,0.21333333333333335,0.02666666666666667,0.04,0.08,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.02666666666666667,0.06666666666666667,0.45299999999999996,0.5416666666666666
accountant,0.13333333333333333,0.7866666666666666,0.16,0.76,0.32,0.12,0.08,0.02666666666666667,0.22666666666666666,0.5733333333333334,0.43,0.5583333333333332
lawyer,0.26666666666666666,0.32,0.02666666666666667,0.3466666666666667,0.12,0.04054054054054054,0.0,0.05333333333333334,0.09333333333333334,0.12,0.605,0.5583333333333332
concierge,0.4520547945205479,0.24,0.26666666666666666,0.06666666666666667,0.5733333333333334,0.48,0.5866666666666667,0.04,0.12,0.5333333333333333,0.7090000000000001,0.56
forensic psychologist,0.02666666666666667,0.30666666666666664,0.0,0.09333333333333334,0.0,0.013333333333333334,0.0,0.0,0.64,0.13333333333333333,0.21600000000000003,0.5616666666666666
salesperson,0.37333333333333335,0.3108108108108108,0.12,0.29333333333333333,0.4533333333333333,0.10810810810810811,0.05333333333333334,0.05333333333333334,0.013333333333333334,0.4666666666666667,0.508,0.5666666666666668
editor,0.013333333333333334,0.06666666666666667,0.013333333333333334,0.02666666666666667,0.04,0.013333333333333334,0.0,0.02666666666666667,0.26666666666666666,0.02666666666666667,0.434,0.57
insurance agent,0.48,0.527027027027027,0.18666666666666668,0.8666666666666667,0.7333333333333333,0.22666666666666666,0.06666666666666667,0.013333333333333334,0.5066666666666667,0.6533333333333333,0.451,0.5716666666666667
theatrical director,0.05333333333333334,0.4666666666666667,0.02666666666666667,0.10666666666666667,0.3333333333333333,0.12,0.1643835616438356,0.17333333333333334,0.2,0.7866666666666666,0.564,0.5833333333333334
pharmacist,0.09333333333333334,0.16,0.06666666666666667,0.09333333333333334,0.06666666666666667,0.04,0.16,0.09333333333333334,0.4,0.25333333333333335,0.42200000000000004,0.5866666666666666
doctor,0.17333333333333334,0.32,0.0,0.4,0.0,0.02666666666666667,0.02666666666666667,0.09333333333333334,0.92,0.28,0.561,0.605
systems analyst,0.25333333333333335,0.37333333333333335,0.013333333333333334,0.4666666666666667,0.33783783783783783,0.12,0.16,0.3466666666666667,0.08,0.05333333333333334,0.622,0.6166666666666667
judge,0.12162162162162163,0.3466666666666667,0.013333333333333334,0.32,0.013333333333333334,0.04,0.0,0.16,0.4666666666666667,0.0,0.535,0.62
research scientist,0.02702702702702703,0.24,0.013333333333333334,0.08,0.0,0.0,0.36,0.36,0.7066666666666667,0.05333333333333334,0.545,0.63
professor,0.05333333333333334,0.41333333333333333,0.09333333333333334,0.3466666666666667,0.013333333333333334,0.06666666666666667,0.64,0.13333333333333333,1.0,0.5466666666666666,0.534,0.6417
income tax preparer,0.05405405405405406,0.06666666666666667,0.02666666666666667,0.16,0.32,0.13333333333333333,0.02666666666666667,0.0,0.17333333333333334,0.44,0.337,0.6333333333333333
chef,0.49333333333333335,0.56,0.10666666666666667,0.26666666666666666,0.24,0.06666666666666667,0.32,0.38666666666666666,0.22666666666666666,0.64,0.767,0.6383333333333333
executive,0.3333333333333333,0.5945945945945946,0.05333333333333334,0.37333333333333335,0.10666666666666667,0.02666666666666667,0.02666666666666667,0.09333333333333334,0.02666666666666667,0.05333333333333334,0.6940000000000001,0.6416666666666666
radio technician,0.52,0.72,0.4666666666666667,0.7333333333333333,0.6666666666666666,0.8918918918918919,0.8666666666666667,0.44,0.44,0.48,0.297,0.645
chiropractor,0.28,0.4,0.02666666666666667,0.22666666666666666,0.04,0.06666666666666667,0.0,0.32,0.9066666666666666,0.12,0.589,0.65
landscaper,0.84,0.92,0.44,0.76,0.7333333333333333,0.6933333333333334,0.7466666666666667,0.30666666666666664,0.3466666666666667,0.8266666666666667,0.927,0.6583333333333333
tailor,0.37333333333333335,0.6266666666666667,0.5866666666666667,0.8,0.84,0.7733333333333333,0.9733333333333334,0.8933333333333333,1.0,0.9333333333333333,0.18600000000000003,0.6583333333333333
bartender,0.4,0.6,0.2,0.8666666666666667,0.6533333333333333,0.38666666666666666,0.49333333333333335,0.21333333333333335,0.4,0.4266666666666667,0.49200000000000005,0.6616666666666666
surgeon,0.5066666666666667,0.68,0.05333333333333334,0.17333333333333334,0.04,0.05333333333333334,0.28,0.22666666666666666,0.9066666666666666,0.09333333333333334,0.8,0.67
computer programmer,0.7162162162162162,0.72,0.2,0.5866666666666667,0.43243243243243246,0.24,0.3333333333333333,0.7866666666666666,0.4,0.12,0.785,0.6783333333333332
movie director,0.68,0.4666666666666667,0.10666666666666667,0.56,0.6533333333333333,0.26666666666666666,0.06666666666666667,0.10666666666666667,0.2,0.6666666666666666,0.564,0.6833333333333332
painter,0.3466666666666667,0.17333333333333334,0.06666666666666667,0.04,0.09333333333333334,0.04,0.13333333333333333,0.05333333333333334,0.02666666666666667,0.2,0.8959999999999999,0.6866666666666668
dentist,0.25333333333333335,0.44,0.02666666666666667,0.29333333333333333,0.0,0.02666666666666667,0.25333333333333335,0.06666666666666667,0.6933333333333334,0.17333333333333334,0.605,0.7116666666666666
groundskeeper,0.28,0.84,0.9066666666666666,0.9866666666666667,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.5066666666666667,0.9066666666666666,0.96,0.927,0.725
architect,0.25333333333333335,0.5733333333333334,0.06666666666666667,0.22666666666666666,0.30666666666666664,0.13333333333333333,0.18666666666666668,0.08,0.37333333333333335,0.2,0.69,0.7333333333333334
stock broker,0.8666666666666667,0.92,0.8266666666666667,0.9066666666666666,0.88,0.6133333333333333,0.4266666666666667,0.4533333333333333,0.9066666666666666,0.92,0.754,0.73
police officer,0.12,0.76,0.17333333333333334,0.5066666666666667,0.09333333333333334,0.25675675675675674,0.06666666666666667,0.09333333333333334,0.0,0.04,0.856,0.7533333333333333
janitor,0.6933333333333334,0.8933333333333333,0.6266666666666667,0.88,0.9466666666666667,0.9866666666666667,0.8266666666666667,0.7333333333333333,0.9866666666666667,0.9733333333333334,0.613,0.7616666666666667
coach,0.6533333333333333,0.22666666666666666,0.08,0.4266666666666667,0.6666666666666666,0.5733333333333334,0.13333333333333333,0.04,0.09333333333333334,0.17333333333333334,0.591,0.7633333333333333
rancher,0.96,0.8533333333333334,0.6533333333333333,0.8666666666666667,0.84,0.96,0.8933333333333333,0.8,0.49333333333333335,0.76,0.726,0.7716666666666666
probation officer,0.22666666666666666,0.2,0.06666666666666667,0.05333333333333334,0.02666666666666667,0.08,0.30666666666666664,0.02666666666666667,0.05333333333333334,0.05333333333333334,0.426,0.7783333333333333
bell hop,0.9166666666666666,0.9466666666666667,0.9066666666666666,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.7090000000000001,0.7866666666666666
pilot,0.7123287671232876,0.13333333333333333,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.04,0.0,0.0,0.0,0.013333333333333334,0.917,0.795
drafting worker,0.6666666666666666,0.48,0.16,0.49333333333333335,0.38666666666666666,0.5866666666666667,0.4666666666666667,0.41333333333333333,0.14666666666666667,0.4266666666666667,0.795,0.8
highway worker,0.9866666666666667,0.8767123287671232,0.76,1.0,0.9466666666666667,0.88,0.9733333333333334,0.3333333333333333,0.6266666666666667,0.88,0.978,0.8
stone cutter,0.6956521739130435,0.7066666666666667,0.7333333333333333,0.9733333333333334,0.9333333333333333,0.972972972972973,0.9866666666666667,0.36,1.0,0.9459459459459459,0.985,0.8083333333333332
logger,1.0,0.9733333333333334,0.9466666666666667,1.0,0.9733333333333334,0.9733333333333334,1.0,0.9466666666666667,1.0,1.0,0.983,0.8083333333333332
private detective,0.56,0.8533333333333334,0.8533333333333334,0.8933333333333333,0.5066666666666667,0.6666666666666666,0.6933333333333334,0.16,0.6266666666666667,0.84,0.57,0.83
electrician,0.8133333333333334,0.8933333333333333,0.8266666666666667,0.92,0.9333333333333333,1.0,0.7333333333333333,0.6666666666666666,0.6133333333333333,0.5333333333333333,0.971,0.8333333333333335
fire fighter,0.68,0.84,0.4533333333333333,0.76,0.6533333333333333,0.6666666666666666,0.4266666666666667,0.05333333333333334,0.25333333333333335,0.5333333333333333,0.961,0.8383333333333334
butcher,0.5675675675675675,0.9866666666666667,0.96,0.9866666666666667,1.0,1.0,1.0,0.96,0.9733333333333334,0.9066666666666666,0.7240000000000001,0.8416666666666667
guard,0.5694444444444444,0.7681159420289855,0.4533333333333333,0.68,0.92,0.9178082191780822,0.9333333333333333,0.36,0.9333333333333333,0.8266666666666667,0.7509999999999999,0.8416666666666667
plumber,0.8933333333333333,0.9866666666666667,0.8666666666666667,0.84,0.9866666666666667,1.0,0.7733333333333333,0.9066666666666666,0.64,0.88,0.978,0.85
farmer,0.7066666666666667,0.7333333333333333,0.5733333333333334,0.8266666666666667,0.92,0.9733333333333334,0.9866666666666667,0.6,0.9333333333333333,0.9733333333333334,0.726,0.8666666666666667
carpenter,0.8133333333333334,0.8666666666666667,1.0,0.9733333333333334,0.9866666666666667,0.9733333333333334,1.0,0.8,1.0,0.92,0.9690000000000001,0.875
trucker,1.0,0.9733333333333334,0.7972972972972973,0.9466666666666667,0.84,0.9733333333333334,0.9459459459459459,0.52,0.08,0.6666666666666666,0.9309999999999999,0.8866666666666667
barber,0.9866666666666667,0.96,0.96,1.0,1.0,0.9864864864864865,1.0,0.9866666666666667,1.0,1.0,0.716,0.8883333333333333
construction worker,0.9594594594594594,0.9466666666666667,0.9333333333333333,1.0,0.9733333333333334,0.9866666666666667,0.8266666666666667,0.76,0.8,0.96,0.955,0.8966666666666666
roofer,0.96,0.9733333333333334,0.9466666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9733333333333334,0.8533333333333334,1.0,0.96,0.956,0.9
auto mechanic,0.8666666666666667,0.8933333333333333,0.5,0.6666666666666666,0.8666666666666667,0.9866666666666667,0.6133333333333333,0.84,0.12,0.44,0.975,0.9166666666666665
heavy equipment operator,0.9866666666666667,0.8266666666666667,0.4266666666666667,0.9733333333333334,0.8133333333333334,0.92,0.36,0.38666666666666666,0.0,0.7066666666666667,0.99,0.9216666666666667
